INFO:2021-05-04 22:05:37.5049:ConnectionTest.Program.Main:Testing Connection
DEBUG:2021-05-04 22:05:38.0259:ConnectionTest.Program.Main(Program.cs:16):Connected
DEBUG:2021-05-04 22:05:38.0259:ConnectionTest.Program.Main(Program.cs:18):Retrieving list of Distinct Cities for Question 2
DEBUG:2021-05-04 22:05:38.0877:ConnectionTest.Program.Main(Program.cs:18):1: ABBEVILLE, AL
DEBUG:2021-05-04 22:05:38.0877:ConnectionTest.Program.Main(Program.cs:18):2: ABBEVILLE, LA
DEBUG:2021-05-04 22:05:38.0877:ConnectionTest.Program.Main(Program.cs:18):3: ABBEVILLE, SC
DEBUG:2021-05-04 22:05:38.0877:ConnectionTest.Program.Main(Program.cs:18):4: ABERDEEN, MD
DEBUG:2021-05-04 22:05:38.0877:ConnectionTest.Program.Main(Program.cs:18):5: ABERDEEN, MS
DEBUG:2021-05-04 22:05:38.0877:ConnectionTest.Program.Main(Program.cs:18):6: ABERDEEN, SD
DEBUG:2021-05-04 22:05:38.1000:ConnectionTest.Program.Main(Program.cs:18):7: ABERDEEN, WA
DEBUG:2021-05-04 22:05:38.1000:ConnectionTest.Program.Main(Program.cs:18):8: ABILENE, TX
DEBUG:2021-05-04 22:05:38.1000:ConnectionTest.Program.Main(Program.cs:18):9: ABINGDON, VA
DEBUG:2021-05-04 22:05:38.1000:ConnectionTest.Program.Main(Program.cs:18):10: ABITA SPRINGS, LA
DEBUG:2021-05-04 22:05:38.1000:ConnectionTest.Program.Main(Program.cs:18):11: ACWORTH, GA
DEBUG:2021-05-04 22:05:38.1000:ConnectionTest.Program.Main(Program.cs:18):12: ADA, OK
DEBUG:2021-05-04 22:05:38.1000:ConnectionTest.Program.Main(Program.cs:18):13: ADEL, GA
DEBUG:2021-05-04 22:05:38.1000:ConnectionTest.Program.Main(Program.cs:18):14: ADELPHI, MD
DEBUG:2021-05-04 22:05:38.1000:ConnectionTest.Program.Main(Program.cs:18):15: ADRIAN, MI
DEBUG:2021-05-04 22:05:38.1000:ConnectionTest.Program.Main(Program.cs:18):16: AGAWAM, MA
DEBUG:2021-05-04 22:05:38.1000:ConnectionTest.Program.Main(Program.cs:18):17: Aguadilla, PR
DEBUG:2021-05-04 22:05:38.1000:ConnectionTest.Program.Main(Program.cs:18):18: AHOSKIE, NC
DEBUG:2021-05-04 22:05:38.1200:ConnectionTest.Program.Main(Program.cs:18):19: AIBONITO, PR
DEBUG:2021-05-04 22:05:38.1200:ConnectionTest.Program.Main(Program.cs:18):20: AIEA, HI
DEBUG:2021-05-04 22:05:38.1200:ConnectionTest.Program.Main(Program.cs:18):21: AIKEN, SC
DEBUG:2021-05-04 22:05:38.1200:ConnectionTest.Program.Main(Program.cs:18):22: AKRON, OH
DEBUG:2021-05-04 22:05:38.1200:ConnectionTest.Program.Main(Program.cs:18):23: ALABASTER, AL
DEBUG:2021-05-04 22:05:38.1200:ConnectionTest.Program.Main(Program.cs:18):24: ALACHUA, FL
DEBUG:2021-05-04 22:05:38.1200:ConnectionTest.Program.Main(Program.cs:18):25: ALAMO, TX
DEBUG:2021-05-04 22:05:38.1200:ConnectionTest.Program.Main(Program.cs:18):26: ALAMOGORDO, NM
DEBUG:2021-05-04 22:05:38.1200:ConnectionTest.Program.Main(Program.cs:18):27: ALAMOSA, CO
DEBUG:2021-05-04 22:05:38.1321:ConnectionTest.Program.Main(Program.cs:18):28: ALBANY, GA
DEBUG:2021-05-04 22:05:38.1321:ConnectionTest.Program.Main(Program.cs:18):29: ALBANY, NY
DEBUG:2021-05-04 22:05:38.1566:ConnectionTest.Program.Main(Program.cs:18):30: ALBANY, OR
DEBUG:2021-05-04 22:05:38.1566:ConnectionTest.Program.Main(Program.cs:18):31: ALBEMARLE, NC
DEBUG:2021-05-04 22:05:38.1757:ConnectionTest.Program.Main(Program.cs:18):32: ALBERT LEA, MN
DEBUG:2021-05-04 22:05:38.1757:ConnectionTest.Program.Main(Program.cs:18):33: ALBERTVILLE, AL
DEBUG:2021-05-04 22:05:38.1908:ConnectionTest.Program.Main(Program.cs:18):34: ALBION, MI
DEBUG:2021-05-04 22:05:38.1940:ConnectionTest.Program.Main(Program.cs:18):35: ALBUQUERQUE, NM
DEBUG:2021-05-04 22:05:38.1940:ConnectionTest.Program.Main(Program.cs:18):36: ALEDO, IL
DEBUG:2021-05-04 22:05:38.1940:ConnectionTest.Program.Main(Program.cs:18):37: ALEXANDER CITY, AL
DEBUG:2021-05-04 22:05:38.2122:ConnectionTest.Program.Main(Program.cs:18):38: ALEXANDRIA, LA
DEBUG:2021-05-04 22:05:38.2257:ConnectionTest.Program.Main(Program.cs:18):39: ALEXANDRIA, MN
DEBUG:2021-05-04 22:05:38.2257:ConnectionTest.Program.Main(Program.cs:18):40: ALEXANDRIA, VA
DEBUG:2021-05-04 22:05:38.2443:ConnectionTest.Program.Main(Program.cs:18):41: ALGONA, IA
DEBUG:2021-05-04 22:05:38.2443:ConnectionTest.Program.Main(Program.cs:18):42: Alhambra, CA
DEBUG:2021-05-04 22:05:38.2604:ConnectionTest.Program.Main(Program.cs:18):43: ALICE, TX
DEBUG:2021-05-04 22:05:38.2604:ConnectionTest.Program.Main(Program.cs:18):44: Aliquippa, PA
DEBUG:2021-05-04 22:05:38.2752:ConnectionTest.Program.Main(Program.cs:18):45: ALLEGAN, MI
DEBUG:2021-05-04 22:05:38.2752:ConnectionTest.Program.Main(Program.cs:18):46: ALLEN, TX
DEBUG:2021-05-04 22:05:38.2911:ConnectionTest.Program.Main(Program.cs:18):47: ALLEN PARK, MI
DEBUG:2021-05-04 22:05:38.2911:ConnectionTest.Program.Main(Program.cs:18):48: Allentown, PA
DEBUG:2021-05-04 22:05:38.3086:ConnectionTest.Program.Main(Program.cs:18):49: Allerton, NY
DEBUG:2021-05-04 22:05:38.3086:ConnectionTest.Program.Main(Program.cs:18):50: ALLIANCE, NE
DEBUG:2021-05-04 22:05:38.3254:ConnectionTest.Program.Main(Program.cs:18):51: ALLIANCE, OH
DEBUG:2021-05-04 22:05:38.3254:ConnectionTest.Program.Main(Program.cs:18):52: ALMA, GA
DEBUG:2021-05-04 22:05:38.3480:ConnectionTest.Program.Main(Program.cs:18):53: ALMA, MI
DEBUG:2021-05-04 22:05:38.3776:ConnectionTest.Program.Main(Program.cs:18):54: ALPENA, MI
DEBUG:2021-05-04 22:05:38.3961:ConnectionTest.Program.Main(Program.cs:18):55: ALPHARETTA, GA
DEBUG:2021-05-04 22:05:38.4069:ConnectionTest.Program.Main(Program.cs:18):56: ALSIP, IL
DEBUG:2021-05-04 22:05:38.4069:ConnectionTest.Program.Main(Program.cs:18):57: ALTAMONTE SPRINGS, FL
DEBUG:2021-05-04 22:05:38.4069:ConnectionTest.Program.Main(Program.cs:18):58: ALTAVISTA, VA
